task_id,destination_id,destination_label,material,release_time,window_start,window_end,priority
T0014,DP-209B-01,209B,M1,0,22,94,Normal
T0011,DP-200C-01,200C,M1,0,23,97,Normal
T0004,DP-130C-01,130C,M5,0,26,78,Normal
T0008,DP-140D-01,140D,M1,0,26,101,Normal
T0015,DP-209C-01,209C,M2,0,28,87,Normal
T0012,DP-200D-01,200D,M5,0,29,100,Normal
T0005,DP-140A-01,140A,M4,2,37,88,Normal
T0009,DP-200A-01,200A,M3,3,32,80,Normal
T0016,DP-209D-01,209D,M1,5,31,82,Normal
T0017,DP-209E-01,209E,M2,5,40,90,Normal
T0002,DP-130A-02,130A,M5,6,27,76,Normal
T0006,DP-140B-01,140B,M1,8,34,97,Normal
T0018,DP-209F-01,209F,M5,8,34,91,Normal
T0010,DP-200B-01,200B,M4,9,28,98,Normal
T0007,DP-140C-01,140C,M3,14,42,100,Normal
T0020,DP-209H-01,209H,M3,15,45,100,Normal
T0003,DP-130B-01,130B,M1,19,38,96,Normal
T0001,DP-130A-01,130A,M3,22,40,88,Normal
T0019,DP-209G-01,209G,M2,22,41,96,Normal
T0013,DP-209A-01,209A,M2,23,42,89,Normal
